country_name,country_id,year,Inflation (CPI %),GDP (Current USD),GDP per Capita (Current USD),Unemployment Rate (%),"Interest Rate (Real, %)","Inflation (GDP Deflator, %)",GDP Growth (% Annual),Current Account Balance (% GDP),Gross National Income (USD)
Indonesia,id,2010,5.134204008,7.55E+11,3065.683484,5.614,-1.746097536,15.26429366,6.223854181,0.681277287,7.35E+11
Indonesia,id,2011,5.35604779,8.93E+11,3579.464425,5.153,4.594376749,7.465943034,6.169784208,0.188703954,8.68E+11
Indonesia,id,2012,4.279499996,9.18E+11,3632.27254,4.468,7.750188565,3.753878753,6.030050653,-2.660273595,8.92E+11
Indonesia,id,2013,6.412513302,9.13E+11,3566.602845,4.336,6.374931242,4.965990291,5.557263689,-3.189964829,8.85E+11
Indonesia,id,2014,6.394925408,8.91E+11,3441.068085,4.049,6.792118581,5.443174549,5.006668426,-3.088169075,8.61E+11
Indonesia,id,2015,6.363121131,8.61E+11,3288.222697,4.514,8.349910635,3.98024266,4.8763223,-2.035041927,8.32E+11
Indonesia,id,2016,3.525805157,9.32E+11,3521.469435,4.301,9.224432344,2.438924087,5.033069183,-1.819150893,9.02E+11
Indonesia,id,2017,3.80879807,1.02E+12,3798.883262,3.783,6.501563996,4.292678122,5.069785901,-1.5946569,9.83E+11
Indonesia,id,2018,3.198346416,1.04E+12,3860.953531,4.387,6.471249839,3.818323569,5.17429154,-2.939072915,1.01E+12
Indonesia,id,2019,3.03058665,1.12E+12,4106.948562,3.59,8.62940479,1.5984885,5.01928768,-2.705661981,1.09E+12
Indonesia,id,2020,1.920968006,1.06E+12,3853.702888,4.255,9.98592672,-0.401651435,-2.065511829,-0.418606248,1.03E+12
Indonesia,id,2021,1.560129905,1.19E+12,4287.17314,3.827,2.75322395,6.003973221,3.702885628,0.295885915,1.15E+12
Indonesia,id,2022,4.209463834,1.32E+12,4730.745489,3.462,-0.95529661,9.566686845,5.307419348,1.001847675,1.28E+12
Indonesia,id,2023,3.670131424,1.37E+12,4876.314327,3.308,7.281955254,1.533073673,5.048105771,-0.148899138,1.34E+12
